ID_sequencing,Spatial,Elevation,MAT,TSEA,MAP,PSEA,Plant_cover,Forest,Grassland,Clay_silt,pH,Soil_C,All_potential_pathogens,Alternaria,Fusarium,Venturia,Phoma,Phaeosphaeriaceae,Cladosporium,Coniochaetaceae,Acremonium,Knufia,Chalara,Mycosphaerellaceae,Didymosphaeriaceae,Teratosphaeriaceae,Coniochaeta,Devriesia,Didymellaceae,Pleosporaceae,Clonostachys,Didymosphaeria,Acrophialophora,Xylariaceae,Bipolaris
1.000,40.992,184.000,20.200,3581.000,1584.000,17.000,5032.260,1.000,0.000,82.000,5.900,1.771,24.856,0.126,13.684,0.003,0.001,0.053,0.151,0.774,1.104,0.000,0.004,0.106,0.114,0.001,0.261,0.000,0.717,0.000,3.203,0.000,0.124,0.216,0.000
2.000,57.981,242.000,-3.600,13977.000,298.000,66.000,2671.500,1.000,0.000,80.000,5.120,3.217,9.566,0.002,0.137,0.002,0.000,0.000,0.184,0.000,0.190,0.000,0.000,0.676,0.000,0.000,0.000,0.000,0.000,0.000,1.208,0.002,0.172,0.524,0.000
3.000,38.029,349.000,6.800,9266.000,1142.000,7.000,4306.470,1.000,0.000,42.000,4.040,34.772,0.887,0.000,0.006,0.037,0.000,0.000,0.003,0.001,0.000,0.000,0.005,0.357,0.001,0.000,0.011,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000
4.000,36.212,406.000,12.000,9952.000,872.000,51.000,2879.100,1.000,0.000,35.800,8.130,5.931,14.774,2.757,1.873,0.001,0.179,0.000,1.346,0.141,0.499,0.000,0.076,0.426,0.000,0.000,0.000,0.000,0.092,0.000,0.203,0.000,0.000,0.171,0.074
5.000,39.100,495.000,9.600,5767.000,1835.000,62.000,3844.800,0.000,1.000,28.200,5.460,9.713,14.497,2.240,0.386,0.997,0.000,0.000,0.035,0.372,0.666,0.098,0.946,0.001,0.037,0.034,0.004,0.000,0.000,0.000,0.186,0.006,0.081,0.000,0.155
6.000,34.866,1340.000,15.100,1228.000,2080.000,39.000,2991.060,0.000,1.000,4.600,5.790,10.647,3.285,0.003,0.057,0.000,0.000,0.000,0.000,0.137,0.031,0.000,0.000,0.066,0.154,0.000,0.005,0.001,0.000,0.052,0.782,0.000,0.000,0.000,0.008
7.000,36.728,2263.000,5.700,7373.000,441.000,40.000,2360.420,1.000,0.000,53.200,5.160,19.257,19.420,0.000,0.007,9.572,0.000,0.005,0.018,0.123,0.000,0.078,6.792,0.021,0.663,0.004,0.109,0.034,0.000,0.008,0.000,0.000,0.000,0.000,0.016
8.000,35.116,1252.000,10.100,6882.000,1991.000,9.000,4582.740,1.000,0.000,6.200,5.810,4.374,1.171,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.008,0.002
9.000,34.866,1340.000,15.100,1228.000,2080.000,39.000,2991.060,1.000,0.000,26.600,4.380,21.215,3.878,0.074,0.089,0.000,0.000,0.039,0.002,0.002,0.080,0.000,0.075,0.000,0.000,0.000,0.017,0.002,0.000,0.000,0.209,0.000,0.000,0.000,0.104
10.000,38.029,349.000,6.800,9266.000,1142.000,7.000,4306.470,0.000,1.000,34.800,7.420,2.750,24.958,4.008,1.545,0.000,0.017,0.210,1.891,6.270,0.975,0.000,0.000,0.001,0.177,0.000,0.092,0.034,4.758,0.876,0.000,0.003,0.041,0.001,0.000
11.000,35.116,1252.000,10.100,6882.000,1991.000,9.000,4582.740,0.000,1.000,36.200,4.630,5.308,7.859,0.325,0.841,0.000,0.000,0.011,0.180,0.000,0.000,0.001,0.000,0.061,0.134,0.352,0.000,0.001,0.000,0.578,0.231,0.000,0.151,0.019,0.046
12.000,38.920,494.000,4.800,9644.000,1141.000,13.000,4252.870,0.000,1.000,20.600,5.000,3.729,2.125,0.195,0.001,0.000,0.000,0.068,0.010,0.217,0.021,0.028,0.221,0.028,0.000,0.000,0.000,0.001,0.001,0.007,0.040,0.000,0.000,0.000,0.065
13.000,38.920,494.000,4.800,9644.000,1141.000,13.000,4252.870,1.000,0.000,6.800,4.180,6.458,0.500,0.045,0.015,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.022
14.000,37.969,267.000,8.900,9709.000,911.000,24.000,2581.390,0.000,1.000,61.800,6.310,1.642,14.510,2.462,1.261,0.000,0.126,0.581,0.940,0.405,0.069,0.000,1.166,0.352,0.369,0.000,0.000,1.215,0.073,0.063,0.130,0.000,0.000,0.055,0.040
15.000,58.029,132.000,-2.800,14208.000,308.000,53.000,3114.805,0.000,1.000,76.000,5.560,2.087,1.670,0.116,0.001,0.001,0.000,0.000,0.039,0.001,0.001,0.000,0.004,0.000,0.000,0.000,0.233,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.078
16.000,37.969,267.000,8.900,9709.000,911.000,24.000,2581.390,1.000,0.000,40.800,5.840,1.953,5.425,0.176,0.094,0.179,0.037,0.061,0.318,0.000,0.036,0.000,0.018,0.000,0.000,0.000,0.000,0.160,0.000,0.116,0.309,0.123,0.000,0.036,0.032
17.000,36.728,2263.000,5.700,7373.000,441.000,40.000,2360.420,0.000,1.000,38.000,5.210,4.890,4.334,0.075,0.209,0.158,0.000,0.032,0.167,0.966,0.000,0.046,0.000,0.000,0.000,0.309,0.025,0.000,0.000,0.168,0.000,0.000,0.000,0.000,0.070
18.000,34.965,738.000,20.500,1244.000,2916.000,25.000,5297.169,0.000,1.000,73.400,5.130,3.900,6.612,0.000,0.125,0.000,0.000,0.000,0.067,0.000,0.226,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.026,0.000,0.000,0.254,0.304
19.000,36.212,406.000,12.000,9952.000,872.000,51.000,2879.100,0.000,1.000,81.600,7.130,2.966,10.352,0.435,2.704,0.029,0.053,1.049,0.685,0.000,0.117,0.000,0.088,0.000,0.443,0.019,0.139,0.038,0.000,0.016,0.063,0.000,0.163,0.174,0.077
20.000,40.017,273.000,6.300,11636.000,749.000,51.000,3145.120,1.000,0.000,29.000,4.870,0.897,11.908,0.003,0.065,0.001,0.000,0.000,0.001,0.392,0.053,0.000,0.000,0.107,0.083,0.000,0.449,0.000,0.000,0.000,0.522,0.000,0.000,0.000,0.868
21.000,40.017,273.000,6.300,11636.000,749.000,51.000,3145.120,0.000,1.000,8.600,4.860,0.607,18.894,1.281,11.292,0.000,0.284,0.207,0.165,0.211,0.564,0.000,0.088,0.643,0.240,0.000,0.000,0.238,0.009,0.031,0.000,0.235,0.071,0.000,0.214
23.000,34.965,738.000,20.500,1244.000,2916.000,25.000,5297.169,1.000,0.000,76.000,4.970,5.335,11.544,1.395,0.511,0.095,0.198,0.122,0.268,0.057,0.000,0.000,0.287,0.000,2.889,0.530,0.821,0.002,0.167,0.000,0.000,0.000,0.000,0.000,0.084
24.000,35.301,161.000,14.600,7575.000,1164.000,11.000,3351.040,1.000,0.000,43.000,5.370,4.979,9.600,0.419,1.889,0.000,0.000,0.000,0.472,1.024,0.000,0.005,0.011,0.000,0.000,0.016,0.000,0.000,0.000,0.000,0.000,0.053,0.000,0.000,0.101
25.000,41.574,683.000,18.200,2513.000,939.000,55.000,3737.220,0.000,1.000,50.000,5.200,5.001,25.199,11.533,3.702,0.000,0.002,0.000,0.713,0.144,3.254,0.000,0.000,0.766,0.465,1.089,0.158,1.192,0.046,0.000,0.017,0.001,0.970,0.026,0.000
26.000,41.162,407.000,18.400,5049.000,683.000,36.000,1922.490,0.000,1.000,16.500,4.900,1.475,5.943,0.160,0.208,0.000,0.000,0.128,0.182,0.049,0.000,0.000,0.977,0.001,0.167,0.095,0.000,0.000,0.000,0.071,0.079,3.560,0.000,0.000,0.001
27.000,42.101,303.000,17.300,5255.000,330.000,55.000,1326.460,1.000,0.000,20.000,5.100,1.397,11.794,0.091,2.661,0.154,0.000,0.045,0.070,1.908,0.834,0.128,0.585,0.116,0.411,0.000,0.045,0.000,0.000,0.001,0.028,0.054,0.000,0.034,0.000
28.000,41.470,1614.000,13.100,3406.000,926.000,67.000,3228.310,0.000,1.000,58.000,5.200,22.380,26.126,9.840,5.760,0.001,0.001,0.000,0.318,0.391,0.572,0.000,0.000,0.090,0.166,0.000,0.009,1.528,0.000,0.000,0.086,0.027,3.354,0.000,0.069
29.000,41.550,797.000,18.100,2933.000,880.000,62.000,2986.040,0.000,1.000,82.400,5.600,5.958,13.671,4.733,3.364,0.003,0.075,0.000,1.263,0.276,0.000,0.000,0.000,0.000,0.014,0.000,0.000,0.006,0.092,0.000,0.000,0.000,0.000,0.000,0.845
30.000,35.572,190.000,13.600,8468.000,1282.000,14.000,3656.470,0.000,1.000,71.000,5.400,1.608,9.600,0.887,7.774,0.000,0.000,0.000,0.171,0.258,0.129,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000
31.000,37.334,1008.000,9.300,9920.000,454.000,60.000,1356.180,0.000,1.000,39.500,6.600,1.675,32.197,11.306,11.525,0.007,0.000,0.000,0.490,1.013,2.979,0.000,0.005,0.330,0.000,0.000,0.000,0.623,0.000,0.000,0.421,0.000,0.000,0.002,1.469
32.000,40.921,2263.000,0.300,5423.000,1098.000,29.000,3364.762,0.000,1.000,42.450,5.400,3.132,15.711,2.141,6.794,0.004,0.000,0.122,0.013,1.746,0.343,0.000,0.000,0.000,0.000,0.000,0.000,0.235,0.326,0.000,0.000,0.000,0.000,0.000,1.833
